Case Number,Date,Year,Sex,Type,Species,Country,Area,Location,Activity,Age,Fatal (Y/N),Time,Month
1976.09.19,1976-09-19,1976.0,M,Unprovoked,Unknown,AUSTRALIA,South Australia,"Point Lowly, north of Whyalla",OTHER,27.0,N,Unspecified,Sep
1976.06.01,1976-06-01,1976.0,F,Provoked,Unknown,AUSTRALIA,Queensland,Off Stradbroke Island,OTHER,,N,Unspecified,Jun
1976.01.12,1976-01-12,1976.0,F,Unprovoked,Unknown,AUSTRALIA,Queensland,Harvey Bay,,,N,Unspecified,Jan
1975.12.29,1975-12-29,1975.0,,Provoked,Unknown,AUSTRALIA,South Australia,Glenelg,OTHER,,N,Unspecified,Dec
2004.09.25,2004-09-25,2004.0,,Provoked,TIGER SHARK,AUSTRALIA,Queensland,Batt Reef,OTHER,,N,afternoon,Sep
1975.12.02,1975-12-02,1975.0,M,Provoked,NURSE SHARK,AUSTRALIA,New South Wales,"Porpoise Pool, Tweed Heads",OTHER,35.0,N,Unspecified,Dec
1975.11.19.b,1975-11-19,1975.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Queenscliff, Sydney",BATHING,20.0,N,Unspecified,Nov
1976.11.26,1976-11-26,1976.0,,Unspecified,Unknown,AUSTRALIA,Queensland,Southport Bar,,,Unknown,Unspecified,Nov
1974.09.01,1974-09-01,1974.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Junpinpin, off Stradbroke Island",OTHER,30.0,N,Unspecified,Sep
1974.01.09,1974-01-09,1974.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,South Australia,Streaky Bay,DIVING,26.0,Y,Unspecified,Jan
1974.00.00.b,,1974.0,M,Unprovoked,WHALER SHARK,AUSTRALIA,Western Australia,Emu Channel,SPEARFISHING,,N,Unspecified,Unk
1971.11.25.R,1971-10-27,1971.0,,Provoked,Unknown,AUSTRALIA,New South Wales,"Marineland, Sydney",,20.0,N,Unspecified,Oct
1971.09.05,1971-09-05,1971.0,M,Unprovoked,Unknown,AUSTRALIA,South Australia,Adelaide,FISHING,51.0,Y,Unspecified,Sep
1971.08.21,1971-08-21,1971.0,M,Provoked,NURSE SHARK,AUSTRALIA,New South Wales,"Manly Marineland, Sydney",OTHER,26.0,N,afternoon,Aug
1979.09.14,1979-09-14,1979.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Byron Bay,DIVING,18.0,N,Unspecified,Sep
1971.01.02,1971-01-02,1971.0,M,Unprovoked,Unknown,AUSTRALIA,Tasmania,,SWIMMING,,N,afternoon,Jan
1971.00.00.d,,1971.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,South Australia,Southport,SURFING,15.0,N,Unspecified,Unk
1970.09.02,1970-09-02,1970.0,M,Provoked,Unknown,AUSTRALIA,New South Wales,"Marineland, Sydney",,20.0,N,Unspecified,Sep
2005.08.24.b,2005-08-24,2005.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,South Australia,Glenelg ,DIVING,23.0,Y,afternoon,Aug
1969.11.30,1969-11-30,1969.0,M,Unprovoked,Unknown,AUSTRALIA,Western Australia,"Swan River, 13 miles upstream",SWIMMING,15.0,N,afternoon,Nov
1971.12.05,1971-12-05,1971.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Gladstone,,20.0,Y,Unspecified,Dec
1969.11.05,1969-11-05,1969.0,M,Provoked,Unknown,AUSTRALIA,New South Wales,"Marineland, Sydney",,27.0,N,Unspecified,Nov
2005.09.07,2005-09-07,2005.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Park Beach, Coff's Harbour",BATHING,15.0,N,night,Sep
1969.05.14,1969-05-14,1969.0,,Unprovoked,Unknown,AUSTRALIA,Queensland,Broomfield Reef,,,N,Unspecified,May
1969.04.22,1969-04-22,1969.0,M,Unspecified,Unknown,AUSTRALIA,New South Wales,"Kingscliffe Beach, south of Tweed Heads",OTHER,,Unknown,Unspecified,Apr
1969.03.25,1969-03-25,1969.0,M,Provoked,MAKO SHARK,AUSTRALIA,New South Wales,Newcastle,,65.0,N,Unspecified,Mar
2005.09.23,2005-09-23,2005.0,M,Unprovoked,WHALER SHARK,AUSTRALIA,Western Australia,"Scarborough Beach, Perth",SURFING,44.0,N,day-morning,Sep
2005.09.24,2005-09-24,2005.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,South Australia,Kangaroo Island,SURFING,26.0,N,afternoon,Sep
2005.09.27.R,2005-09-27,2005.0,M,Unprovoked,TIGER SHARK,AUSTRALIA,New South Wales,Arakoon's Little Bay,SURFING,28.0,N,Unspecified,Sep
1969.02.17.R,1969-02-17,1969.0,M,Provoked,GILL SHARK,AUSTRALIA,Tasmania,Taroona,FISHING,49.0,N,afternoon,Feb
1969.02.00,,1969.0,M,Unspecified,Unknown,AUSTRALIA,Queensland,Cooktown,DIVING,52.0,Unknown,Unspecified,Feb
2005.09.04.a,2005-09-04,2005.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,South Australia,"Fishery Bay, Eyre Peninsula",SURFING,40.0,N,afternoon,Sep
2007.01.19,2007-01-19,2007.0,M,Unspecified,Unknown,AUSTRALIA,New South Wales,Brunswick Heads,SWIMMING,20.0,Unknown,Unspecified,Jan
1971.12.23,1971-12-23,1971.0,,Unprovoked,Unknown,AUSTRALIA,New South Wales,Smokey Cape,,22.0,N,Unspecified,Dec
2004.04.26,2004-04-26,2004.0,M,Unprovoked,WOBBEGONG SHARK,AUSTRALIA,New South Wales,"Latitude Reef, near Forster",DIVING,,N,day-morning,Apr
2005.04.16.a,2005-04-16,2005.0,M,Unprovoked,WHALER SHARK,AUSTRALIA,New South Wales,Bronte Beach,SURFING,40.0,N,day-morning,Apr
2005.04.17.R,2005-04-17,2005.0,,Unprovoked,Unknown,AUSTRALIA,New South Wales,Crookhaven,,,N,Unspecified,Apr
2005.04.25,2005-04-25,2005.0,M,Provoked,MAKO SHARK,AUSTRALIA,New South Wales,Bermagui,FISHING,25.0,N,night,Apr
1973.11.25,1973-11-25,1973.0,,Unprovoked,Unknown,AUSTRALIA,Western Australia,Swan River,,,N,Unspecified,Nov
1973.11.03,1973-11-03,1973.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Gin Arm Creek,,,N,Unspecified,Nov
1978.12.29,1978-12-29,1978.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Bribie Island,,,N,Unspecified,Dec
1973.08.27,1973-08-27,1973.0,,Unprovoked,Unknown,AUSTRALIA,Queensland,Palm Cove Beach,,21.0,Unknown,Unspecified,Aug
2005.05.15,2005-05-15,2005.0,M,Unprovoked,BLACKTIP SHARK,AUSTRALIA,Queensland,50 km east of Townsville,SPEARFISHING,,N,Unspecified,May
1973.08.25,1973-08-25,1973.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Point Lookout, Stradbroke Island",SURFING,16.0,N,Unspecified,Aug
1972.02.12,1972-02-12,1972.0,,Unprovoked,Unknown,AUSTRALIA,Tasmania,Elliot's Cove,,,N,Unspecified,Feb
1973.03.26,1973-03-26,1973.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Palm Island,,,N,Unspecified,Mar
1972.12.08,1972-12-08,1972.0,,Provoked,Unknown,AUSTRALIA,New South Wales,"Marineland, Sydney",,24.0,N,Unspecified,Dec
1972.10.22,1972-10-21,1972.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Stevens Reef, 70 miles from Mackay",SPEARFISHING,24.0,N,Unspecified,Oct
1972.10.21,1972-10-21,1972.0,M,Unprovoked,WHALER SHARK,AUSTRALIA,New South Wales,Tabourie Beach,SURFING,19.0,N,Unspecified,Oct
1972.08.08,1972-08-08,1972.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,Tasmania,Tasman Island,DIVING,45.0,N,Unspecified,Aug
1972.06.26.b,1972-06-26,1972.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Pancake Creek,,,Y,Unspecified,Jun
1972.06.26.a,1972-06-26,1972.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Pancake Creek,,,Y,Unspecified,Jun
1972.04.01.b,1972-04-01,1972.0,F,Unprovoked,Unknown,AUSTRALIA,Queensland,Wellington Point,,,N,Unspecified,Apr
1972.02.20,1972-02-20,1972.0,M,Unprovoked,Unknown,AUSTRALIA,Victoria,"Wilson's Promontory, Waratah Bay",SURFING,18.0,N,day-morning,Feb
2005.07.15.R,2005-07-15,2005.0,,Unspecified,Unknown,AUSTRALIA,Unspecified,,,,Unknown,Unspecified,Jul
1972.12.22,1972-12-21,1972.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Currumbin Rock,,,N,Unspecified,Dec
2007.01.23,2007-01-23,2007.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,New South Wales,Cape Howe,DIVING,41.0,N,day-morning,Jan
1963.04.13,1963-04-13,1963.0,M,Unprovoked,Unknown,AUSTRALIA,Western Australia,Yallingup,OTHER,25.0,N,Unspecified,Apr
2007.02.03,2007-02-03,2007.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Shelly Beach,BODY BOARDING,26.0,N,day-morning,Feb
1959.04.27,1959-04-27,1959.0,M,Unspecified,Unknown,AUSTRALIA,New South Wales,Maroubra Bay,SPEARFISHING,22.0,Unknown,Unspecified,Apr
1959.04.11,1959-04-11,1959.0,M,Unprovoked,TIGER SHARK,AUSTRALIA,Torres Strait,"Coconut Island , 100 miles east of Thursday Island",OTHER,43.0,N,Unspecified,Apr
1959.04.05,1959-04-05,1959.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Thirroul,SPEARFISHING,,N,Unspecified,Apr
1959.02.28,1959-02-28,1959.0,M,Provoked,MAKO SHARK,AUSTRALIA,Victoria,Port Phillip Bay,OTHER,,N,Unspecified,Feb
1988.01.21,1988-01-21,1988.0,M,Unspecified,Unknown,AUSTRALIA,Torres Strait,,OTHER,,Unknown,Unspecified,Jan
1959.01.31,1959-01-31,1959.0,M,Unprovoked,NURSE SHARK,AUSTRALIA,Western Australia,South Perth,OTHER,20.0,N,night,Jan
1959.01.25,1959-01-25,1959.0,M,Unprovoked,Unknown,AUSTRALIA,Tasmania,"Whale Bay, King Island, Bass Strait",OTHER,16.0,N,Unspecified,Jan
1959.01.17.b,1959-01-17,1959.0,M,Unprovoked,Unknown,AUSTRALIA,Tasmania,Safety Cove,OTHER,22.0,Y,afternoon,Jan
1959.01.17.a,1959-01-17,1959.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Alexandra Headland near Mooloolaba,OTHER,17.0,N,day-morning,Jan
1959.01.00,,1959.0,M,Unprovoked,Unknown,AUSTRALIA,Tasmania,Badger Head,OTHER,,N,Unspecified,Jan
1958.11.23,1958-11-23,1958.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Surfer's Paradise,SWIMMING,21.0,Y,afternoon,Nov
2008.07.30.R,2008-07-30,2008.0,M,Unprovoked,Unknown,AUSTRALIA,Victoria,Levys Beach,SURFING,31.0,N,day-morning,Jul
1958.06.15,1958-06-15,1958.0,F,Unspecified,Unknown,AUSTRALIA,Queensland,Green Island,SWIMMING,,Unknown,Unspecified,Jun
1958.02.19,1958-02-19,1958.0,M,Unspecified,Unknown,AUSTRALIA,New South Wales,,SPEARFISHING,21.0,Unknown,afternoon,Feb
1958.01.27,1958-01-27,1958.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,5 miles south of Sussex Inlet at mouth of Berara Lake,OTHER,17.0,N,Unspecified,Jan
1958.01.19,1958-01-19,1958.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Brunswick Heads,BODY BOARDING,14.0,N,afternoon,Jan
1957.12.31,1957-12-31,1957.0,M,Unprovoked,Unknown,AUSTRALIA,South Australia,"Port Hughes, 100 miles from Adelaide in Spencer Gulf",SPEARFISHING,,N,Unspecified,Dec
1957.11.04.R,1957-11-04,1957.0,,Provoked,Unknown,AUSTRALIA,New South Wales,Off Scotts,FISHING,,N,Unspecified,Nov
1957.07.09,1957-07-09,1957.0,M,Unprovoked,Unknown,AUSTRALIA,Torres Strait,Near Thursday Island,DIVING,36.0,N,Unspecified,Jul
1959.08.30,1959-08-30,1959.0,M,Unspecified,Unknown,AUSTRALIA,Tasmania,,SWIMMING,,Unknown,Unspecified,Aug
1959.11.09,1959-11-09,1959.0,M,Provoked,CARPET SHARK,AUSTRALIA,Western Australia, Perth,OTHER,,N,Unspecified,Nov
1959.11.12.R,1959-11-12,1959.0,,Provoked,Unknown,AUSTRALIA,South Australia,Near Port Vincent,SHARK FISHING,,N,Unspecified,Nov
1959.11.22,1959-11-22,1959.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Surfer's Paradise, Northcliffe",OTHER,19.0,N,day-morning,Nov
2008.04.08,2008-04-08,2008.0,M,Unprovoked,BULL SHARK,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",BODY BOARDING,16.0,Y,day-morning,Apr
1987.09.18,1987-09-18,1987.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,South Australia,"Merino Rocks, Adelaide",OTHER,47.0,Y,Unspecified,Sep
1960.02.10.,1960-02-10,1960.0,,Provoked,TIGER SHARK,AUSTRALIA,New South Wales,Near Bondi Beach,SHARK FISHING,,N,Unspecified,Feb
1987.12.13,1987-12-13,1987.0,F,Unspecified,Unknown,AUSTRALIA,New South Wales,Shoalhaven,,,Unknown,Unspecified,Dec
1960.02.07,1960-02-07,1960.0,M,Provoked,NURSE SHARK,AUSTRALIA,New South Wales,Wattamolla National Park,SPEARFISHING,20.0,N,Unspecified,Feb
2008.04.17,2008-04-17,2008.0,M,Unspecified,Unknown,AUSTRALIA,Queensland,"Duranbah, Greenmount Beach",SURFING,19.0,Unknown,day-morning,Apr
1960.01.21,1960-01-21,1960.0,,Provoked,Unknown,AUSTRALIA,South Australia,Millicent,,,N,Unspecified,Jan
2008.04.20.a,2008-04-20,2008.0,M,Unprovoked,TIGER SHARK,AUSTRALIA,New South Wales,Crescent Head,,,Unknown,Unspecified,Apr
1960.01.16,1960-01-16,1960.0,M,Unprovoked,BULL SHARK,AUSTRALIA,New South Wales,"Just below Roseville Bridge, opposite Killarney picnic reserve, Middle Harbor, Sydney",DIVING,13.0,Y,afternoon,Jan
1957.05.11,1957-05-11,1957.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Tea Gardens, north of Newcastle",OTHER,28.0,N,afternoon,May
1960.01.13,1960-01-13,1960.0,M,Provoked,WOBBEGONG SHARK,AUSTRALIA,Western Australia,Geraldton,OTHER,,N,afternoon,Jan
1959.12.29,1959-12-29,1959.0,,Provoked,TIGER SHARK,AUSTRALIA,Queensland,Scotts Point Beach ,OTHER,,N,afternoon,Dec
1959.12.28,1959-12-28,1959.0,,Provoked,Unknown,AUSTRALIA,New South Wales,"Leichardt, Sydney",FISHING,,N,night,Dec
1959.12.19.b,1959-12-19,1959.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Off Wynnum in Moreton Bay, near Brisbane",OTHER,29.0,Y,day-morning,Dec
2008.05.10,2008-05-10,2008.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,Western Australia,Albany,SWIMMING,37.0,N,day-morning,May
1959.12.11,1959-12-11,1959.0,M,Provoked,Unknown,AUSTRALIA,Victoria,"Altona, Melbourne",OTHER,,N,Unspecified,Dec
1959.12.07,1959-12-07,1959.0,M,Unspecified,Unknown,AUSTRALIA,South Australia,Laura Bay,SPEARFISHING,,Unknown,Unspecified,Dec
1988.00.00.c,,1988.0,M,Unprovoked,WOBBEGONG SHARK,AUSTRALIA,New South Wales,Sydney,SURFING,12.0,N,Unspecified,Unk
1959.11.29,1959-11-29,1959.0,M,Unprovoked,Unknown,AUSTRALIA,Victoria,"Fairhaven Beach, Lorne",BODY BOARDING,19.0,N,afternoon,Nov
1959.11.28,1959-11-28,1959.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"North Burleigh, near Brisbane",OTHER,17.0,N,day-morning,Nov
1960.01.07,1960-01-07,1960.0,,Provoked,Unknown,AUSTRALIA,Tasmania,Eaglehawk Neck,OTHER,,N,day-morning,Jan
2008.08.30.c,2008-08-30,2008.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",SURFING,29.0,N,Unspecified,Aug
1957.04.23,1957-04-23,1957.0,M,Unprovoked,WOBBEGONG SHARK,AUSTRALIA,New South Wales,"Merewether Beach, Newcastle",SURFING,15.0,N,Unspecified,Apr
1957.04.13,1957-04-13,1957.0,M,Unprovoked,Unknown,AUSTRALIA,Torres Strait,"Thursday Island Harbour, Queensland",OTHER,22.0,N,afternoon,Apr
1956.01.16.R,1956-01-16,1956.0,M,Unprovoked,Unknown,AUSTRALIA,Torres Strait,Palm Island,DIVING,18.0,N,Unspecified,Jan
2009.01.24.b,2009-01-24,2009.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",SWIMMING,19.0,N,afternoon,Jan
2009.02.07.a,2009-02-07,2009.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Sandon,SURFING,,N,day-morning,Feb
2009.02.07.b,2009-02-07,2009.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,New South Wales,Cellito Beach,SURFING,41.0,N,day-morning,Feb
2009.02.11,2009-02-11,2009.0,M,Unprovoked,BULL SHARK,AUSTRALIA,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour",OTHER,31.0,N,day-morning,Feb
2009.02.12,2009-02-12,2009.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",SURFING,33.0,N,night,Feb
2009.02.18,2009-02-18,2009.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",SURFING,,N,afternoon,Feb
2009.02.22,2009-02-22,2009.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Batt Reef,FISHING,,N,day-morning,Feb
2009.03.01.a,2009-03-01,2009.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Avalon,SURFING,15.0,N,day-morning,Mar
2009.01.18,2009-01-18,2009.0,M,Provoked,WHITE SHARK,AUSTRALIA,Victoria,Off Tower Hill,FISHING,,N,day-morning,Jan
1988.10.06,1988-10-06,1988.0,M,Unprovoked,Unknown,AUSTRALIA,South Australia,Moama Beach,SURFING,15.0,N,afternoon,Oct
1956.01.05,1956-01-05,1956.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,North Bondi,SURFING,25.0,N,Unspecified,Jan
1955.12.31,1955-12-31,1955.0,,Provoked,Unknown,AUSTRALIA,Tasmania,,OTHER,,N,Unspecified,Dec
2009.03.19.a,2009-03-19,2009.0,F,Unprovoked,Unknown,AUSTRALIA,New South Wales,Bateman's Bay,SURFING,,N,day-morning,Mar
2009.03.19.b,2009-03-19,2009.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,South Broulee,SURFING,,N,day-morning,Mar
2009.03.20,2009-03-20,2009.0,M,Unprovoked,WHALER SHARK,AUSTRALIA,New South Wales,Blue Bay,SURFING,17.0,N,night,Mar
2014.01.26,2014-01-26,2014.0,M,Provoked,Unknown,AUSTRALIA,New South Wales,Umina Beach,FISHING,,N,Unspecified,Jan
1955.08.00.a,,1955.0,,Provoked,Unknown,AUSTRALIA,South Australia,Port Augusta,FISHING,,N,Unspecified,Aug
1955.03.09,1955-03-09,1955.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Wamberal,BODY BOARDING,22.0,Y,night,Mar
1955.03.00.a,,1955.0,M,Provoked,Unknown,AUSTRALIA,Western Australia,Woodman’s Point,OTHER,25.0,N,day-morning,Mar
2009.03.16.R,2009-03-16,2009.0,M,Provoked,WOBBEGONG SHARK,AUSTRALIA,Western Australia,"The Natural Jetty, Rottnest Island",BATHING,21.0,N,Unspecified,Mar
1960.02.29,1960-02-29,1960.0,M,Unprovoked,Unknown,AUSTRALIA,Tasmania,Ralph Bay,OTHER,,N,night,Feb
1956.02.10.R,1956-02-10,1956.0,M,Unprovoked,Unknown,AUSTRALIA,Victoria,Cowes,SWIMMING,8.0,N,Unspecified,Feb
2009.01.11.b,2009-01-11,2009.0,F,Unprovoked,WHITE SHARK,AUSTRALIA,Tasmania,Binalong Bay,SURFING,13.0,N,afternoon,Jan
1957.02.02,1957-02-02,1957.0,M,Unprovoked,Unknown,AUSTRALIA,Western Australia,Cape Levêque,,,Unknown,Unspecified,Feb
1988.02.12,1988-02-12,1988.0,,Provoked,MAKO SHARK,AUSTRALIA,Western Australia,18 km west of Bunbury,OTHER,,N,Unspecified,Feb
2008.09.07,2008-09-07,2008.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay",SURFING,51.0,N,afternoon,Sep
1956.08.15.b,1956-08-15,1956.0,M,Provoked,WOBBEGONG SHARK,AUSTRALIA,Queensland,Near Southport,DIVING,,N,Unspecified,Aug
1956.06.28,1956-06-28,1956.0,M,Unprovoked,Unknown,AUSTRALIA,Torres Strait,"Fishman's Island (near Port Moresby, PNG) ",OTHER,,N,Unspecified,Jun
1956.05.00,,1956.0,,Unprovoked,Unknown,AUSTRALIA,Torres Strait,,DIVING,,N,Unspecified,May
1956.03.11,1956-03-11,1956.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Cronulla, near Sydney",BATHING,13.0,N,Unspecified,Mar
2008.10.11,2008-10-11,2008.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Lake Macquarie,SURFING,15.0,N,afternoon,Oct
2008.10.22,2008-10-22,2008.0,M,Provoked,NURSE SHARK,AUSTRALIA,New South Wales,"Oceanworld, Manley",DIVING,34.0,N,afternoon,Oct
2009.01.12,2009-01-12,2009.0,M,Unprovoked,DUSKY SHARK,AUSTRALIA,New South Wales,"Windang,       Lake Illawara",SNORKELING,24.0,N,day-morning,Jan
1956.03.04,1956-03-04,1956.0,M,Unprovoked,Unknown,AUSTRALIA,Victoria,"Portsea Beach, near entrance to Port Phillip Bay",OTHER,26.0,Y,afternoon,Mar
2008.12.06,2006-12-06,2008.0,,Provoked,WHITE SHARK,AUSTRALIA,New South Wales,Mowarry Point,FISHING,,N,day-morning,Dec
1956.03.00.b,,1956.0,M,Unprovoked,Unknown,AUSTRALIA,Western Australia,Fremantle,OTHER,21.0,N,Unspecified,Mar
1956.02.26,1956-02-26,1956.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Pioneer River near Mackay,OTHER,15.0,Y,day-morning,Feb
2008.12.27.a,2008-12-27,2008.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,Western Australia,Port Kennedy Beach,SNORKELING,51.0,Y,day-morning,Dec
2008.12.27.b,2008-12-27,2008.0,M,Provoked,WHITE SHARK,AUSTRALIA,New South Wales,"Long Reef, north of Sydney",ON BOAT,29.0,N,day-morning,Dec
2008.12.27.c,2008-12-27,2008.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Seal Rocks,BODY BOARDING,10.0,N,Unspecified,Dec
2008.12.27.d,2008-12-27,2008.0,,Provoked,Unknown,AUSTRALIA,Tasmania,near Schouten Island,OTHER,,N,Unspecified,Dec
2008.12.30,2008-12-30,2008.0,,Unspecified,Unknown,AUSTRALIA,Western Australia,Port Kennedy Beach,OTHER,,Unknown,day-morning,Dec
2009.01.11.a,2009-01-11,2009.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,New South Wales,Fingal Beach,SURFING,31.0,N,day-morning,Jan
2008.11.09.b,2008-11-09,2008.0,M,Provoked,WHALER SHARK,AUSTRALIA,South Australia,North Haven,FISHING,,N,Unspecified,Nov
2009.04.12,2009-04-12,2009.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Fingal Bay,SURFING,40.0,N,day-morning,Apr
1960.04.01,1960-04-01,1960.0,,Provoked,WHITE SHARK,AUSTRALIA,South Australia,Hog Bay,SHARK FISHING,,N,Unspecified,Apr
1960.04.03.b,1960-04-03,1960.0,M,Unprovoked,Unknown,AUSTRALIA,Victoria,"Canadian Bay near Mount Eliza, 30 miles from Melbourne",SPEARFISHING,,N,Unspecified,Apr
1962.02.15,1962-02-15,1962.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Between Smith’s Rock & Moreton Island,OTHER,,N,Unspecified,Feb
1962.02.04,1962-02-04,1962.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Greenmount Beach,SWIMMING,35.0,N,afternoon,Feb
1984.03.01,1984-03-01,1984.0,,Unprovoked,Unknown,AUSTRALIA,Western Australia,Coral Bay,,,Unknown,Unspecified,Mar
1984.11.30,1984-11-30,1984.0,M,Unprovoked,TIGER SHARK,AUSTRALIA,Queensland,1 km off Black's Beach,OTHER,16.0,Y,afternoon,Nov
1962.01.21,1962-01-21,1962.0,M,Provoked,WHALER SHARK,AUSTRALIA,New South Wales,Cronulla,SPEARFISHING,19.0,N,Unspecified,Jan
1985.03.03,1985-03-03,1985.0,F,Unprovoked,WHITE SHARK,AUSTRALIA,South Australia,"Wiseman’s Beach, Peake Bay, Port Lincoln",OTHER,33.0,Y,afternoon,Mar
1985.11.11,1985-11-11,1985.0,M,Provoked,Unknown,AUSTRALIA,Queensland,Gladstone,FISHING,,N,afternoon,Nov
1962.01.14.b,1962-01-14,1962.0,,Provoked,NURSE SHARK,AUSTRALIA,New South Wales,"Long Reef, North Manly",SPEARFISHING,,N,Unspecified,Jan
1962.01.14.a,1962-01-14,1962.0,M,Unprovoked,WHALER SHARK,AUSTRALIA,New South Wales,"Lennox Head, Ballina",SURFING,19.0,N,afternoon,Jan
1962.01.11.c,1962-01-11,1962.0,,Provoked,NURSE SHARK,AUSTRALIA,South Australia,Marino,FISHING,,N,Unspecified,Jan
1986.02.01,1986-02-01,1986.0,M,Unprovoked,WHALER SHARK,AUSTRALIA,Victoria,Jan Juc Beach,SURFING,29.0,N,day-morning,Feb
1962.01.10,1962-01-10,1962.0,,Provoked,WHITE SHARK,AUSTRALIA,South Australia,Ceduna,SHARK RELATED ACTIVITY,,N,Unspecified,Jan
1962.01.08,1962-01-08,1962.0,M,Unspecified,Unknown,AUSTRALIA,New South Wales,Lake Illawarra,SWIMMING,25.0,Unknown,Unspecified,Jan
1962.01.07.b,1962-01-07,1962.0,,Provoked,Unknown,AUSTRALIA,Queensland,Dicky Beach,ON BOAT,,N,Unspecified,Jan
1962.01.07.a,1962-01-07,1962.0,,Unprovoked,Unknown,AUSTRALIA,New South Wales,Sydney,SURFING,,N,Unspecified,Jan
1962.01.02,1962-01-02,1962.0,,Provoked,Unknown,AUSTRALIA,New South Wales,"Seaspray, near Sale",FISHING,,N,Unspecified,Jan
1962.00.00.a,,1962.0,M,Unprovoked,Unknown,AUSTRALIA,South Australia,Dangerous Reef,DIVING,,N,Unspecified,Unk
1961.12.28.c,1961-12-28,1961.0,F,Unprovoked,Unknown,AUSTRALIA,Queensland,"Lambert's Beach, Mackay",BATHING,18.0,Y,afternoon,Dec
1961.12.28.b,1961-12-28,1961.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Lambert’s Beach, Mackay",BATHING,24.0,N,afternoon,Dec
1962.03.25.a,1962-03-25,1962.0,,Provoked,WHALER SHARK,AUSTRALIA,New South Wales,Norah Head,OTHER,,N,Unspecified,Mar
1962.04.20,1962-04-20,1962.0,,Provoked,WHALER SHARK,AUSTRALIA,Queensland,Nobbys Beach,FISHING,,N,Unspecified,Apr
1962.06.07,1962-06-07,1962.0,,Provoked,Unknown,AUSTRALIA,Western Australia,Emu Point,FISHING,,N,day-morning,Jun
1984.02.11,1984-02-11,1984.0,M,Unprovoked,REEF SHARK,AUSTRALIA,Queensland,Derwent Island,SPEARFISHING,27.0,N,Unspecified,Feb
